,Title,Series,Number,Status,Release Date,PDF Link
532,CMVP Approved Non-Invasive Attack Mitigation Test Metrics: CMVP Validation Authority Updates to ISO/IEC 24759,SP,800-140F,Final,3/20/2020,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140F.pdf
533,Annual Report 2018: NIST/ITL Cybersecurity Program,SP,800-206,Final,3/13/2020,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-206.pdf
534,Digital Identity Guidelines: Enrollment and Identity Proofing,SP,800-63A,Final,3/02/2020,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-63a.pdf
535,Digital Identity Guidelines: Authentication and Lifecycle Management,SP,800-63B,Final,3/02/2020,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-63b.pdf
536,Digital Identity Guidelines: Federation and Assertions,SP,800-63C,Final,3/02/2020,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-63c.pdf
537,Digital Identity Guidelines,SP,800-63-3,Final,3/02/2020,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-63-3.pdf
538,Resilient Interdomain Traffic Exchange: BGP Security and DDoS Mitigation,SP,800-189,Final,12/17/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-189.pdf
539,"NIST Big Data Interoperability Framework: Volume 4, Security and Privacy Version 3",SP,1500-4 Rev. 2,Final,10/21/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1500-4r2.pdf
540,Guide for Security-Focused Configuration Management of Information Systems,SP,800-128,Final,10/10/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-128.pdf
541,"Guidelines for the Selection, Configuration, and Use of Transport Layer Security (TLS) Implementations",SP,800-52 Rev. 2,Final,8/29/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-52r2.pdf
542,Derived Personal Identity Verification (PIV) Credentials,SP,1800-12,Final,8/27/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1800-12.pdf
543,Security Strategies for Microservices-based Application Systems,SP,800-204,Final,8/07/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-204.pdf
544,Situational Awareness for Electric Utilities,SP,1800-7,Final,8/07/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1800-7.pdf
545,Guide to Attribute Based Access Control (ABAC) Definition and Considerations,SP,800-162,Final,8/02/2019,https://nvlpubs.nist.gov/nistpubs/specialpublications/NIST.SP.800-162.pdf
546,"Multifactor Authentication for E-Commerce: Risk-Based, FIDO Universal Second Factor Implementations for Purchasers",SP,1800-17,Final,7/30/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1800-17.pdf
547,Protecting the Integrity of Internet Routing: Border Gateway Protocol (BGP) Route Origin Validation,SP,1800-14,Final,6/28/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1800-14.pdf
548,Attribute Considerations for Access Control Systems,SP,800-205,Final,6/18/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-205.pdf
549,Recommendation for Key Management: Part 2 – Best Practices for Key Management Organizations,SP,800-57 Part 2 Rev. 1,Final,5/23/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-57pt2r1.pdf
550,Vetting the Security of Mobile Applications,SP,800-163 Rev. 1,Final,4/19/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-163r1.pdf
551,Transitioning the Use of Cryptographic Algorithms and Key Lengths,SP,800-131A Rev. 2,Final,3/21/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-131Ar2.pdf
552,Recommendation for Pair-Wise Key-Establishment Using Integer Factorization Cryptography,SP,800-56B Rev. 2,Final,3/21/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-56Br2.pdf
553,Trustworthy Email,SP,800-177 Rev. 1,Final,2/26/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-177r1.pdf
554,Mobile Device Security: Cloud and Hybrid Builds,SP,1800-4,Final,2/21/2019,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1800-4.pdf
555,Risk Management Framework for Information Systems and Organizations: A System Life Cycle Approach for Security and Privacy,SP,800-37 Rev. 2,Final,12/20/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-37r2.pdf
556,IT Asset Management,SP,1800-5,Final,9/07/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1800-5.pdf
557,Securing Wireless Infusion Pumps in Healthcare Delivery Organizations,SP,1800-8,Final,8/17/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1800-8.pdf
558,Securing Electronic Health Records on Mobile Devices,SP,1800-1,Final,7/27/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1800-1.pdf
559,Identity and Access Management for Electric Utilities,SP,1800-2,Final,7/13/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1800-2.pdf
560,2017 NIST/ITL Cybersecurity Program Annual Report,SP,800-203,Final,7/02/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-203.pdf
561,Guidelines for the Use of PIV Credentials in Facility Access,SP,800-116 Rev. 1,Final,6/29/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-116r1.pdf
562,Security Recommendations for Server-based Hypervisor Platforms,SP,800-125A Rev. 1,Final,6/07/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-125Ar1.pdf
563,Quick Start Guide for Populating Mobile Test Devices,SP,800-202,Final,5/10/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-202.pdf
564,Platform Firmware Resiliency Guidelines,SP,800-193,Final,5/04/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-193.pdf
565,Codes for Identification of Federal and Federally-Assisted Organizations,SP,800-87 Rev. 2,Final,4/19/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-87r2.pdf
566,Recommendation for Pair-Wise Key-Establishment Schemes Using Discrete Logarithm Cryptography,SP,800-56A Rev. 3,Final,4/16/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-56Ar3.pdf
567,Fog Computing Conceptual Model,SP,500-325,Final,3/14/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.500-325.pdf
568,National Checklist Program for IT Products: Guidelines for Checklist Users and Developers,SP,800-70 Rev. 4,Final,2/15/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-70r4.pdf
569,The Technical Specification for the Security Content Automation Protocol (SCAP): SCAP Version 1.3,SP,800-126 Rev. 3,Final,2/14/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-126r3.pdf
570,SCAP 1.3 Component Specification Version Updates: An Annex to NIST Special Publication 800-126 Revision 3,SP,800-126A,Final,2/14/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-126A.pdf
571,Domain Name System-Based Electronic Mail Security,SP,1800-6,Final,1/19/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1800-6.pdf
572,Recommendation for the Entropy Sources Used for Random Bit Generation,SP,800-90B,Final,1/10/2018,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-90B.pdf
573,Guide to LTE Security,SP,800-187,Final,12/21/2017,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-187.pdf
574,2016 NIST/ITL Cybersecurity Program Annual Report,SP,800-195,Final,9/28/2017,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-195.pdf
575,Application Container Security Guide,SP,800-190,Final,9/25/2017,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-190.pdf
576,Verification and Test Methods for Access Control Policies/Models,SP,800-192,Final,6/27/2017,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-192.pdf
577,An Introduction to Information Security,SP,800-12 Rev. 1,Final,6/22/2017,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-12r1.pdf
578,Guide for Cybersecurity Event Recovery,SP,800-184,Final,12/22/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-184.pdf
579,"SHA-3 Derived Functions: cSHAKE, KMAC, TupleHash, and ParallelHash",SP,800-185,Final,12/22/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-185.pdf
580,Report of the Workshop on Software Measures and Metrics to Reduce Security Vulnerabilities (SwMM-RSV),SP,500-320,Final,11/10/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.500-320.pdf
581,Recommendation for Block Cipher Modes of Operation: the CMAC Mode for Authentication,SP,800-38B,Final,10/06/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-38B.pdf
582,Guide to Cyber Threat Information Sharing,SP,800-150,Final,10/04/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-150.pdf
583,A Comparison of Attribute Based Access Control (ABAC) Standards for Data Service Applications: Extensible Access Control Markup Language (XACML) and Next Generation Access Control (NGAC),SP,800-178,Final,10/03/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-178.pdf
584,"Guideline for Using Cryptographic Standards in the Federal Government: Directives, Mandates and Policies",SP,800-175A,Final,8/22/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-175A.pdf
585,Computer Security Division 2015 Annual Report,SP,800-182,Final,8/10/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-182.pdf
586,Recommendation for Block Cipher Modes of Operation: Methods for Format-Preserving Encryption,SP,800-38G,Final,8/04/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-38G.pdf
587,"Guide to Enterprise Telework, Remote Access, and Bring Your Own Device (BYOD) Security",SP,800-46 Rev. 2,Final,7/29/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-46r2.pdf
588,User's Guide to Telework and Bring Your Own Device (BYOD) Security,SP,800-114 Rev. 1,Final,7/29/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-114r1.pdf
589,Networks of 'Things',SP,800-183,Final,7/28/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-183.pdf
590,Derived PIV Application and Data Model Test Guidelines,SP,800-166,Final,6/06/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-166.pdf
591,Representation of PIV Chain-of-Trust for Import and Export,SP,800-156,Final,5/20/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-156.pdf
592,PIV Card Application and Middleware Interface Test Guidelines (SP 800-73-4 Compliance),SP,800-85A-4,Final,4/13/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-85A-4.pdf
593,Secure Virtual Network Configuration for Virtual Machine (VM) Protection,SP,800-125B,Final,3/07/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-125B.pdf
594,Interfaces for Personal Identity Verification,SP,800-73-4,Final,2/12/2016,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-73-4.pdf
595,A Profile for U.S. Federal Cryptographic Key Management Systems (CKMS),SP,800-152,Final,10/28/2015,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-152.pdf
596,Guide to Application Whitelisting,SP,800-167,Final,10/28/2015,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-167.pdf
597,Computer Security Division 2014 Annual Report,SP,800-176,Final,8/20/2015,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-176.pdf
598,Guidelines for the Authorization of Personal Identity Verification Card Issuers (PCI) and Derived PIV Credential Issuers (DPCI),SP,800-79-2,Final,7/30/2015,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-79-2.pdf
599,Recommendation for Random Number Generation Using Deterministic Random Bit Generators,SP,800-90A Rev. 1,Final,6/24/2015,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-90Ar1.pdf
600,"Conformance Testing Methodology Framework for ANSI/NIST-ITL 1-2011 Update: 2013, Data Format for the Interchange of Fingerprint, Facial & Other Biometric Information",SP,500-304,Final,6/24/2015,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.500-304.pdf
601,Cryptographic Algorithms and Key Sizes for Personal Identity Verification,SP,800-78-4,Final,5/29/2015,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-78-4.pdf
602,"Recommendation for Key Management, Part 3: Application-Specific Key Management Guidance",SP,800-57 Part 3 Rev. 1,Final,1/22/2015,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-57Pt3r1.pdf
603,Guidelines for Derived Personal Identity Verification (PIV) Credentials,SP,800-157,Final,12/19/2014,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-157.pdf
604,Guidelines for Media Sanitization,SP,800-88 Rev. 1,Final,12/17/2014,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-88r1.pdf
605,Computer Security Division 2013 Annual Report,SP,800-170,Final,9/04/2014,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-170.pdf
606,BIOS Protection Guidelines for Servers,SP,800-147B,Final,8/28/2014,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-147B.pdf
607,Approximate Matching: Definition and Terminology,SP,800-168,Final,7/02/2014,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-168.pdf
608,Guidelines on Mobile Device Forensics,SP,800-101 Rev. 1,Final,5/15/2014,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-101r1.pdf
609,Secure Domain Name System (DNS) Deployment Guide,SP,800-81-2,Final,9/18/2013,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-81-2.pdf
610,A Framework for Designing Cryptographic Key Management Systems,SP,800-130,Final,8/15/2013,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-130.pdf
611,Guide to Malware Incident Prevention and Handling for Desktops and Laptops,SP,800-83 Rev. 1,Final,7/22/2013,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-83r1.pdf
612,Computer Security Division 2012 Annual Report,SP,800-165,Final,7/22/2013,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-165.pdf
613,Biometric Specifications for Personal Identity Verification,SP,800-76-2,Final,7/11/2013,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-76-2.pdf
614,Recommendation for Block Cipher Modes of Operation: Methods for Key Wrapping,SP,800-38F,Final,12/13/2012,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-38F.pdf
615,Guide for Conducting Risk Assessments,SP,800-30 Rev. 1,Final,9/17/2012,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-30r1.pdf
616,Recommendation for Applications Using Approved Hash Algorithms,SP,800-107 Rev. 1,Final,8/24/2012,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-107r1.pdf
617,Computer Security Incident Handling Guide,SP,800-61 Rev. 2,Final,8/06/2012,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-61r2.pdf
618,Cloud Computing Synopsis and Recommendations,SP,800-146,Final,5/29/2012,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-146.pdf
619,The Technical Specification for the Security Content Automation Protocol (SCAP): SCAP Version 1.2,SP,800-126 Rev. 2,Final,3/19/2012,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-126r2.pdf
620,Guidelines for Securing Wireless Local Area Networks (WLANs),SP,800-153,Final,2/21/2012,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-153.pdf
621,Recommendation for Existing Application-Specific Key Derivation Functions,SP,800-135 Rev. 1,Final,12/23/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-135r1.pdf
622,Guidelines on Security and Privacy in Public Cloud Computing,SP,800-144,Final,12/09/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-144.pdf
623,Information Security Continuous Monitoring (ISCM) for Federal Information Systems and Organizations,SP,800-137,Final,9/30/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-137.pdf
624,The NIST Definition of Cloud Computing,SP,800-145,Final,9/28/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-145.pdf
625,BIOS Protection Guidelines,SP,800-147,Final,4/29/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-147.pdf
626,"Managing Information Security Risk: Organization, Mission, and Information System View",SP,800-39,Final,3/01/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-39.pdf
627,The Technical Specification for the Security Content Automation Protocol (SCAP): SCAP Version 1.1,SP,800-126 Rev. 1,Final,2/25/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-126r1.pdf
628,Guide to Using Vulnerability Naming Schemes,SP,800-51 Rev. 1,Final,2/25/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-51r1.pdf
629,Guide to Security for Full Virtualization Technologies,SP,800-125,Final,1/28/2011,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-125.pdf
630,Guidelines for the Secure Deployment of IPv6,SP,800-119,Final,12/29/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-119.pdf
631,Recommendation for Password-Based Key Derivation: Part 1: Storage Applications,SP,800-132,Final,12/22/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-132.pdf
632,Contingency Planning Guide for Federal Information Systems,SP,800-34 Rev. 1,Final,11/11/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-34r1.pdf
633,Recommendation for Block Cipher Modes of Operation: Three Variants of Ciphertext Stealing for CBC Mode,SP,800-38A,Final,10/21/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-38a-add.pdf
634,Practical Combinatorial Testing,SP,800-142,Final,10/07/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-142.pdf
635,A Statistical Test Suite for Random and Pseudorandom Number Generators for Cryptographic Applications,SP,800-22 Rev. 1,Final,4/30/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-22r1a.pdf
636,Guide to Protecting the Confidentiality of Personally Identifiable Information (PII),SP,800-122,Final,4/06/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-122.pdf
637,Recommendation for Block Cipher Modes of Operation:  the XTS-AES Mode for Confidentiality on Storage Devices,SP,800-38E,Final,1/18/2010,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-38e.pdf
638,Guidelines on Firewalls and Firewall Policy,SP,800-41 Rev. 1,Final,9/28/2009,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-41r1.pdf
639,Recommendation for Digital Signature Timeliness,SP,800-102,Final,9/23/2009,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-102.pdf
640,Technical Guide to Information Security Testing and Assessment,SP,800-115,Final,9/30/2008,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf
641,Guide for Mapping Types of Information and Information Systems to Security Categories,SP,800-60 Vol. 1 Rev. 1,Final,8/01/2008,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-60v1r1.pdf
642,Guide for Mapping Types of Information and Information Systems to Security Categories: Appendices,SP,800-60 Vol. 2 Rev. 1,Final,8/01/2008,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-60v2r1.pdf
643,Guide to General Server Security,SP,800-123,Final,7/25/2008,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-123.pdf
644,Performance Measurement Guide for Information Security,SP,800-55 Rev. 1,Final,7/16/2008,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-55r1.pdf
645,Guide to SSL VPNs,SP,800-113,Final,7/01/2008,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-113.pdf
646,Guidelines on Active Content and Mobile Code,SP,800-28 Version 2,Final,3/07/2008,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-28ver2.pdf
647,Recommendation for Block Cipher Modes of Operation: Galois/Counter Mode (GCM) and GMAC,SP,800-38D,Final,11/28/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-38d.pdf
648,Guide to Storage Encryption Technologies for End User Devices,SP,800-111,Final,11/15/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-111.pdf
649,Guidelines on Securing Public Web Servers,SP,800-44 Version 2,Final,10/09/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-44ver2.pdf
650,Guide to Secure Web Services,SP,800-95,Final,8/29/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-95.pdf
651,Recommendation for Block Cipher Modes of Operation: the CCM Mode for Authentication and Confidentiality,SP,800-38C,Final,7/20/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-38c.pdf
652,Guidelines for Securing Radio Frequency Identification (RFID) Systems,SP,800-98,Final,4/06/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-98.pdf
653,Information Security Handbook: A Guide for Managers,SP,800-100,Final,3/07/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-100.pdf
654,Guidelines on Electronic Mail Security,SP,800-45 Version 2,Final,2/20/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-45ver2.pdf
655,Guide to Intrusion Detection and Prevention Systems (IDPS),SP,800-94,Final,2/20/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-94.pdf
656,Establishing Wireless Robust Security Networks: A Guide to IEEE 802.11i,SP,800-97,Final,2/07/2007,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-97.pdf
657,PIV Card to Reader Interoperability Guidelines,SP,800-96,Final,12/29/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-96.pdf
658,Recommendation for Obtaining Assurances for Digital Signature Applications,SP,800-89,Final,11/30/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-89.pdf
659,"Guide to Test, Training, and Exercise Programs for IT Plans and Capabilities",SP,800-84,Final,9/21/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-84.pdf
660,Guide to Computer Security Log Management,SP,800-92,Final,9/13/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-92.pdf
661,Guide to Integrating Forensic Techniques into Incident Response,SP,800-86,Final,9/01/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-86.pdf
662,PIV Data Model Test Guidelines,SP,800-85B,Final,7/31/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-85b.pdf
663,Guide for Developing Security Plans for Federal Information Systems,SP,800-18 Rev. 1,Final,2/24/2006,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-18r1.pdf
664,Security Considerations for Voice Over IP Systems,SP,800-58,Final,1/01/2005,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-58.pdf
665,Guidelines on PDA Forensics,SP,800-72,Final,11/01/2004,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-72.pdf
666,Guide to Information Technology Security Services,SP,800-35,Final,10/09/2003,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-35.pdf
667,Building an Information Technology Security Awareness and Training Program,SP,800-50,Final,10/01/2003,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-50.pdf
668,Guideline for Identifying an Information System as a National Security System,SP,800-59,Final,8/20/2003,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-59.pdf
669,Federal S/MIME V3 Client Profile,SP,800-49,Final,11/05/2002,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-49.pdf
670,Recommendation for Block Cipher Modes of Operation: Methods and Techniques,SP,800-38A,Final,12/01/2001,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-38a.pdf
671,Information Technology Security Training Requirements: a Role- and Performance-Based Model,SP,800-16,Final,4/01/1998,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-16.pdf
672,Security in ISDN,SP,500-189,Final,9/01/1991,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication500-189.pdf
673,Guide for Selecting Automated Risk Analysis Tools,SP,500-174,Final,10/01/1989,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication500-174.pdf
674,Executive Guide to the Protection of Information Resources,SP,500-169,Final,10/01/1989,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication500-169.pdf
675,Management Guide to the Protection of Information Resources,SP,500-170,Final,10/01/1989,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication500-170.pdf
676,Computer Users' Guide to the Protection of Information Resources,SP,500-171,Final,10/01/1989,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication500-171.pdf
677,Computer Viruses and Related Threats: a Management Guide,SP,500-166,Final,8/01/1989,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication500-166.pdf
678,Report of the Invitational Workshop on Integrity Policy in Computer Information Systems (WIPCIS),SP,500-160,Final,1/01/1989,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication500-160.pdf
679,Smart Card Technology: New Methods for Computer Access Control,SP,500-157,Final,9/01/1988,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication500-157.pdf
680,"Accuracy, Integrity, and Security in Computerized Vote-Tallying",SP,500-158,Final,8/01/1988,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nbsspecialpublication500-158.pdf
681,Message Authentication Code (MAC) Validation System: Requirements and Procedures,SP,500-156,Final,5/01/1988,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nbsspecialpublication500-156.pdf
682,Guide to Auditing for Controls and Security: A System Development Life Cycle Approach,SP,500-153,Final,4/01/1988,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nbsspecialpublication500-153.pdf
683,Security for Dial-Up Lines,SP,500-137,Final,5/01/1986,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nbsspecialpublication500-137.pdf
